movie_name,country,release_year,duration,director_gender,director_lastname,director_firstname,director_birthyear,director_deathyear,actor1_firstname,actor1_lastname,actor1_gender,actor1_birthyear,actor1_deathyear,actor2_firstname,actor2_lastname,actor2_gender,actor2_birthyear,actor2_deathyear,actor3_firstname,actor3_lastname,actor3_gender,actor3_birthyear,actor3_deathyear
A Shoe Addict's Christmas,Canada,2018,90,Male,Robison,Michael,1955/8/29,,Candace,Cameron Bure,Female,1976/4/6,,Luke,Macfarlane,Male,1980/1/19,,Jean,Smart,Female,1951/9/13,
Avengers: Infinity War,United States of America,2018,149,Male,Russo,Anthony,1970/2/3,,Robert,Downey Jr.,Male,1965/4/4,,Chris,Evans,Male,1981/6/13,,Chris,Hemsworth,Male,1983/8/11,
Penguin Highway,Japan,2018,118,Male,Ishida,Hiroyasu,1988/7/3,,Kana,Kita,Female,1997/8/23,,Rie,Kugimiya,Female,1979/5/30,,Aoi,Yu,Female,1985/8/17,
Show Dogs,United Kingdom,2018,90,Male,Gosnell,Raja,1958/12/9,,Will,Arnett,Male,1970/5/4,,Ludacris,,Male,1977/9/11,,Natasha,Lyonne,Female,1979/4/4,
Aquaman,United States of America,2018,143,Male,Wan,James,1977/2/26,,Jason,Momoa,Male,1979/8/1,,Amber,Heard,Female,1986/4/22,,Willem,Dafoe,Male,1955/7/22,
The Grinch,United States of America,2018,85,Male,Cheney,Yarrow,,,Benedict,Cumberbatch,Male,1976/7/19,,Rashida,Jones,Female,1976/2/25,,Kenan,Thompson,Male,1978/5/10,
The Predator,United States of America,2018,107,Male,Black,Shane,1961/12/16,,Boyd,Holbrook,Male,1981/9/1,,Trevante,Rhodes,Male,1990/2/10,,Sterling,K. Brown,Male,1976/4/5,
Christmas Everlasting,United States of America,2018,84,Male,Oliver,Ron,1960/6/15,,Tatyana,Ali,Female,1979/1/24,,Dondr¨¦,Whitfield,Male,1969/5/27,,Dennis,Haysbert,Male,1954/6/2,
Deadman Standing,United States of America,2018,93,Unknown,Barton,Nicholas,,,Luke,Arnold,Male,1984/1/24,,Quinn,Lord,Male,1999/2/19,,Viva,Bianca,Female,1983/11/17,
Rajma Chawal,India,2018,129,Female,Yadav,Leena,1971/1/6,,Rishi,Kapoor,Male,1952/9/4,2020/4/30,Anirudh,Tanwar,Unknown,,,Amyra,Dastur,Female,1993/5/7,
